ville,quartier,type_bien,surface_habitable,nb_pieces,nb_chambres,etage,ascenseur,etat,annee_construction,balcon,terrasse,parking,chauffage,classe_energie,distance_centre,distance_transport,score_commerces,prix,annee_vente,mois_vente
13,11,0,95.04,4,4,4,1,1,1923,0,1,0,2,3,2.45,142.46,5,335323.08,2020,2
14,12,3,116.43,4,2,0,0,1,1950,0,0,2,3,3,4.46,497.56,7,262753.03,2022,6
3,17,2,79.56,4,3,5,0,1,1998,1,0,0,0,4,2.52,282.65,5,173194.03,2021,12
0,3,0,66.7,2,3,1,0,0,1974,0,0,0,0,2,1.81,191.52,9,184212.53,2023,2
12,17,2,126.53,4,3,5,0,0,1890,1,0,0,3,5,9.12,-50.0,4,476488.18,2020,10
7,3,3,239.29,6,6,0,0,1,1948,0,0,0,2,2,2.99,152.36,8,849174.94,2023,5
3,12,0,77.92,4,3,0,0,3,1994,0,0,1,3,3,2.89,145.37,5,179294.83,2023,3
9,12,4,28.7,1,0,3,0,0,1950,1,0,0,1,1,6.89,332.75,1,163175.92,2020,7
13,7,0,90.34,4,3,5,1,2,1963,0,0,0,0,3,2.81,252.94,9,390201.4,2023,11
4,7,1,96.03,4,3,0,0,1,1970,1,1,0,0,4,4.76,813.68,3,175924.23,2021,2
6,8,2,120.39,5,5,3,0,3,2022,0,0,0,0,2,11.21,222.86,3,533881.58,2020,1
13,12,0,73.92,3,2,2,0,1,1970,1,0,0,1,0,6.89,115.35,8,246242.3,2023,7
12,11,0,80.18,4,3,4,1,4,1938,1,0,0,2,7,7.25,256.08,10,156098.97,2020,4
12,12,0,106.94,7,6,2,0,1,1939,0,0,0,3,0,2.63,136.26,5,405076.68,2021,2
7,17,0,49.86,2,1,1,0,0,1947,0,0,0,4,2,5.61,77.26,1,185801.36,2020,11
9,12,0,75.04,3,2,1,0,3,1925,0,0,2,3,5,14.47,658.82,4,347514.88,2020,9
14,12,0,94.92,4,3,6,1,4,1930,1,0,1,0,1,4.55,343.67,7,264441.76,2022,3
7,3,3,197.41,4,3,0,0,3,1941,0,1,0,4,7,2.33,367.88,8,763354.58,2023,2
7,3,0,50.8,2,2,1,0,3,1985,1,0,0,2,6,11.28,168.02,5,164078.02,2021,7
6,19,4,19.31,1,0,0,0,4,1980,1,1,0,4,3,5.62,252.94,1,78603.85,2021,4
8,12,4,38.57,1,0,0,0,1,1952,1,0,1,2,2,4.48,106.41,1,127187.95,2021,11
9,11,3,90.39,3,2,0,0,4,1932,1,0,2,3,2,10.21,95.51,1,261388.72,2021,9
5,13,2,82.33,3,2,0,0,0,1981,1,0,0,0,1,2.48,242.12,2,603196.87,2022,12
7,17,0,78.88,3,2,0,0,0,1916,0,0,0,2,5,6.32,386.34,4,288185.16,2022,3
11,11,0,104.66,5,4,1,0,0,1921,0,0,0,3,4,6.25,103.58,3,223346.38,2022,5
2,11,3,127.08,5,3,0,0,4,1958,0,0,2,2,2,4.94,443.01,2,193312.64,2021,3
8,17,3,262.1,5,3,0,0,0,1976,0,0,1,1,4,1.61,701.29,6,758677.92,2022,10
5,5,3,203.65,5,3,0,0,0,1992,0,0,0,0,3,4.6,87.49,6,682414.79,2020,4
11,3,2,236.06,5,3,1,0,4,1987,0,0,0,0,7,8.21,241.25,2,464529.58,2023,12
9,3,1,105.5,6,4,1,0,3,1958,1,0,2,3,2,2.64,251.5,5,881082.1,2020,1
10,16,3,242.27,7,6,0,0,4,1984,1,0,0,1,1,1.94,308.27,4,1903939.07,2020,9
11,11,4,27.67,1,0,0,0,0,1934,1,1,0,0,3,3.66,521.25,7,71004.63,2020,3
4,7,0,77.53,3,2,0,0,1,1969,1,0,0,3,2,2.01,455.3,5,188610.45,2021,2
8,17,0,63.94,2,1,3,1,4,1981,1,0,1,0,7,5.65,540.85,10,149684.8,2023,3
3,3,4,30.93,1,0,5,1,0,1994,0,1,0,0,2,5.89,244.07,7,89113.34,2020,3
11,12,0,100.16,5,3,4,1,0,1902,0,0,1,2,4,2.35,111.98,5,257398.09,2020,3
1,11,0,125.97,4,3,3,1,1,1908,0,0,2,0,2,4.06,678.54,7,593635.99,2020,6
10,0,0,60.76,3,2,2,0,0,1900,1,0,0,2,3,10.49,270.14,4,525053.87,2023,12
12,17,3,182.95,4,3,0,0,0,1974,1,1,1,2,2,7.84,101.62,4,551166.71,2021,5
12,3,0,65.98,2,1,4,1,0,1976,1,0,1,3,1,2.33,164.84,10,342284.58,2021,1
0,7,3,185.25,4,3,0,0,2,1857,1,0,0,2,5,5.34,337.34,5,456637.06,2020,5
4,12,0,104.8,5,5,7,1,1,1984,1,0,0,0,4,6.8,145.5,5,256719.25,2020,2
11,7,0,67.41,2,1,4,0,2,1996,1,0,1,0,2,14.65,262.25,6,146628.72,2023,7
11,3,0,87.34,4,3,0,0,0,1912,1,0,0,3,2,10.73,322.75,5,206764.82,2023,6
0,12,0,59.86,3,3,3,0,3,1952,1,0,0,0,3,4.45,64.01,1,126429.52,2021,5
2,7,2,158.22,4,3,3,1,1,2006,1,0,0,0,4,6.75,304.76,10,409082.45,2023,10
2,7,0,95.99,3,3,3,1,4,1987,0,0,0,2,5,9.69,252.94,2,137716.55,2020,2
0,12,0,62.34,2,3,3,0,4,1947,0,0,0,2,4,2.09,59.29,5,98042.58,2023,8
2,3,3,145.97,5,4,0,0,0,1993,0,0,0,3,6,6.86,516.41,7,293746.14,2020,6
6,8,3,246.1,4,3,0,0,2,1970,1,0,0,0,4,4.66,150.1,2,1043143.06,2023,6
11,17,0,138.29,6,5,4,1,4,1948,0,0,0,4,2,2.65,138.27,10,230036.21,2023,10
13,12,0,63.01,2,0,0,0,0,1987,0,0,0,1,3,2.98,145.14,3,210113.11,2020,9
14,11,1,148.95,4,3,3,1,0,1906,0,0,2,3,4,2.96,311.7,3,456633.47,2023,9
1,11,3,161.92,5,4,0,0,0,1891,1,0,0,1,1,6.22,70.93,5,636135.93,2020,10
6,19,0,115.45,4,3,6,1,1,1978,0,0,0,3,2,4.32,262.84,9,483909.5,2023,10
9,17,3,163.79,5,4,0,0,4,1969,0,1,2,2,6,9.66,541.64,5,505336.63,2023,3
6,8,0,93.63,3,2,3,1,4,2001,1,0,0,3,4,8.14,207.2,9,211021.46,2020,10
13,11,0,80.11,4,3,0,0,1,1998,1,0,1,0,2,8.27,252.94,10,241727.22,2022,1
9,3,3,110.36,5,3,0,0,1,1945,1,0,0,4,1,3.45,252.94,7,474163.47,2020,2
1,17,2,96.91,4,3,5,1,1,1971,1,0,0,1,6,5.94,175.69,10,364280.85,2022,2
13,17,0,93.1,3,2,8,1,1,1995,0,1,0,1,3,13.84,289.47,7,236180.36,2020,12
5,15,4,37.07,1,1,6,1,0,1970,0,0,0,2,3,2.33,127.17,9,259927.8,2020,10
14,3,0,83.13,3,2,2,0,2,1955,1,1,0,0,4,6.39,71.53,9,392110.43,2022,8
1,7,0,127.51,5,4,3,1,2,1970,1,0,0,0,4,11.34,258.91,5,524622.58,2021,10
11,3,0,98.21,3,3,3,1,1,1916,0,1,0,0,3,4.61,358.25,7,291152.37,2021,9
2,7,0,94.43,3,1,5,1,4,1980,1,0,1,1,2,4.06,22.86,6,235194.07,2022,9
5,5,2,75.21,3,2,4,1,2,1969,1,0,0,2,3,7.04,342.81,7,519521.82,2021,12
4,12,3,218.07,4,3,0,0,0,1927,1,1,1,0,3,4.65,114.38,5,702922.16,2022,9
1,17,0,51.4,3,3,1,0,2,1855,0,0,0,3,1,2.01,42.81,3,275099.39,2023,7
4,17,1,117.84,7,6,6,1,0,1927,0,0,2,0,3,6.14,712.27,3,384688.91,2022,8
9,17,2,84.0,3,2,6,1,3,1994,0,0,2,0,3,5.29,25.12,4,583785.64,2020,9
5,4,4,36.26,1,0,2,0,0,1906,0,0,1,2,4,6.03,339.19,8,176366.93,2023,6
14,7,1,156.46,7,6,0,0,0,1961,1,0,0,0,3,3.09,543.38,8,523117.45,2021,4
11,7,0,74.83,4,2,4,1,0,1938,0,0,2,3,3,4.97,661.37,5,146904.85,2021,7
0,3,4,30.47,1,0,2,0,1,1974,0,1,1,1,3,9.67,35.12,5,75695.26,2020,10
11,12,3,140.96,4,3,0,0,3,1971,0,1,0,1,2,6.88,190.72,8,319348.7,2023,3
13,3,2,155.71,4,3,5,0,4,2021,0,0,1,2,5,15.23,666.97,5,351605.99,2020,11
11,12,4,20.87,1,0,2,0,0,1997,0,0,1,0,3,4.91,252.94,10,50354.63,2021,4
3,3,0,80.11,3,3,1,0,3,1970,1,0,1,2,4,5.66,567.18,1,221011.93,2021,11
7,11,4,30.04,1,0,6,1,0,1977,1,0,1,1,3,8.45,298.43,8,108119.76,2022,1
0,17,0,85.4,4,4,4,0,4,1993,1,1,0,2,1,6.59,142.1,1,133492.96,2021,4
6,2,0,96.67,3,1,0,0,1,2011,0,0,0,2,2,1.63,136.0,5,358820.61,2023,5
2,7,0,73.35,3,1,4,1,1,1878,1,0,2,2,3,4.57,461.91,9,194441.0,2020,8
10,10,1,148.42,5,5,5,1,1,2014,1,0,1,2,5,0.34,379.23,10,1372296.97,2020,3
14,17,0,75.9,4,3,1,0,1,1934,1,0,0,3,1,5.17,64.77,9,253090.05,2021,3
5,5,3,189.94,4,4,0,0,3,1989,1,0,1,3,3,7.64,318.44,2,784327.84,2022,11
7,11,0,57.07,3,2,8,1,0,1997,0,0,0,2,0,2.32,378.24,2,275827.72,2021,9
14,17,1,106.91,7,3,2,0,1,1910,1,0,0,3,5,6.98,281.46,2,283468.41,2023,5
5,15,0,50.27,3,2,8,1,0,2018,1,1,0,0,7,13.64,226.39,7,290503.54,2020,5
